,AVG,,,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,FantasyPros,BetIQ,??,Razzball,Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Player,Team,PO,PASS ATT,PASS ATT,PASS ATT,PASS ATT,PASS ATT,PASS CMP,PASS CMP,PASS CMP,PASS CMP,PASS CMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS INCMP,PASS YDS,PASS YDS,PASS YDS,PASS YDS,PASS YDS,PASS FDS,PASS FDS,PASS FDS,PASS FDS,PASS FDS,PASS TDS,PASS TDS,PASS TDS,PASS TDS,PASS TDS,PASS INT,PASS INT,PASS INT,PASS INT,PASS INT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH ATT,RUSH YDS,RUSH YDS,RUSH YDS,RUSH YDS,RUSH YDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH FDS,RUSH TDS,RUSH TDS,RUSH TDS,RUSH TDS,RUSH TDS,REC REC,REC REC,REC REC,REC REC,REC REC,REC YDS,REC YDS,REC YDS,REC YDS,REC YDS,REC FDS,REC FDS,REC FDS,REC FDS,REC FDS,REC TDS,REC TDS,REC TDS,REC TDS,REC TDS,MISC FL,MISC FL,MISC FL,MISC FL,MISC FL,FGA,FGA,FGA,FGA,FGA,FGMa,FGMa,FGMa,FGMa,FGMa,FGMi,FGMi,FGMi,FGMi,FGMi,XPTA,XPTA,XPTA,XPTA,XPTA,XPTMa,XPTMa,XPTMa,XPTMa,XPTMa,XPTMi,XPTMi,XPTMi,XPTMi,XPTMi,SACK,SACK,SACK,SACK,SACK,INT,INT,INT,INT,INT,FR,FR,FR,FR,FR,FF,FF,FF,FF,FF,TD,TD,TD,TD,TD,SAFETY,SAFETY,SAFETY,SAFETY,SAFETY,PA,PA,PA,PA,PA,YDS_AGN,YDS_AGN,YDS_AGN,YDS_AGN,YDS_AGN,PASSING ATT,PASSING CMP,PASSING INCMP,PASSING YDS,PASSING FDS,PASSING TDS,PASSING INT,RUSHING ATT,RUSHING YDS,RUSHING FDS,RUSHING TDS,RECEIVING REC,RECEIVING YDS,RECEIVING FDS,RECEIVING TDS,MISC FL,FGA,FGMa,FGMi,XPTA,XPTMa,XPTMi,SACK,INT,FR,FF,TD,SAFETY,PA,YDS_AGN,ID,,,All Pos,,,QB,RB,WR,TE,K,DST
10,Jordan Love,GB,QB,545.5,#N/A,#N/A,#N/A,545.5,355.1,#N/A,#N/A,#N/A,355.1,190.4,#N/A,#N/A,#N/A,190.4,3988.1,#N/A,#N/A,#N/A,3988.1,193.0,#N/A,#N/A,#N/A,193.0,29.4,#N/A,#N/A,#N/A,29.4,11.5,#N/A,#N/A,#N/A,11.5,45.7,#N/A,#N/A,#N/A,45.7,200.3,#N/A,#N/A,#N/A,200.3,10.2,#N/A,#N/A,#N/A,10.2,2.4,#N/A,#N/A,#N/A,2.4,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.0,#N/A,#N/A,#N/A,3.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,159.5,0.0,117.6,-23.0,0.0,20.0,0.0,14.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-6.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000991,282.55,10,297.53,Amon-Ra St. Brown,WR,0.00,0.00,297.53,0.00,0.00,0.00
11,Brock Purdy,SF,QB,498.0,#N/A,#N/A,#N/A,498.0,336.1,#N/A,#N/A,#N/A,336.1,161.9,#N/A,#N/A,#N/A,161.9,4075.9,#N/A,#N/A,#N/A,4075.9,197.3,#N/A,#N/A,#N/A,197.3,29.6,#N/A,#N/A,#N/A,29.6,10.8,#N/A,#N/A,#N/A,10.8,43.5,#N/A,#N/A,#N/A,43.5,159.9,#N/A,#N/A,#N/A,159.9,8.1,#N/A,#N/A,#N/A,8.1,1.9,#N/A,#N/A,#N/A,1.9,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,2.6,#N/A,#N/A,#N/A,2.6,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,163.0,0.0,118.4,-21.6,0.0,16.0,0.0,11.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-5.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000990,282.03,11,297.48,Ja'Marr Chase,WR,0.00,0.00,297.48,0.00,0.00,0.00
12,Jayden Daniels,WAS,QB,544.9,#N/A,#N/A,#N/A,544.9,339.7,#N/A,#N/A,#N/A,339.7,205.2,#N/A,#N/A,#N/A,205.2,3582.5,#N/A,#N/A,#N/A,3582.5,173.4,#N/A,#N/A,#N/A,173.4,20.2,#N/A,#N/A,#N/A,20.2,13.9,#N/A,#N/A,#N/A,13.9,114.0,#N/A,#N/A,#N/A,114.0,592.2,#N/A,#N/A,#N/A,592.2,30.1,#N/A,#N/A,#N/A,30.1,5.0,#N/A,#N/A,#N/A,5.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,4.4,#N/A,#N/A,#N/A,4.4,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,143.3,0.0,80.8,-27.8,0.0,59.2,0.0,30.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-8.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000989,276.72,12,296.43,C.J. Stroud,QB,296.43,0.00,0.00,0.00,0.00,0.00
13,Trevor Lawrence,JAC,QB,566.2,#N/A,#N/A,#N/A,566.2,373.3,#N/A,#N/A,#N/A,373.3,192.9,#N/A,#N/A,#N/A,192.9,3983.6,#N/A,#N/A,#N/A,3983.6,192.8,#N/A,#N/A,#N/A,192.8,24.3,#N/A,#N/A,#N/A,24.3,12.5,#N/A,#N/A,#N/A,12.5,66.1,#N/A,#N/A,#N/A,66.1,306.2,#N/A,#N/A,#N/A,306.2,15.6,#N/A,#N/A,#N/A,15.6,3.5,#N/A,#N/A,#N/A,3.5,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,4.8,#N/A,#N/A,#N/A,4.8,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,159.3,0.0,97.2,-25.0,0.0,30.6,0.0,21.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-9.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000988,273.56,13,296.03,Bijan Robinson,RB,0.00,296.03,0.00,0.00,0.00,0.00
14,Caleb Williams,CHI,QB,532.2,#N/A,#N/A,#N/A,532.2,346.4,#N/A,#N/A,#N/A,346.4,185.8,#N/A,#N/A,#N/A,185.8,3781.3,#N/A,#N/A,#N/A,3781.3,183.0,#N/A,#N/A,#N/A,183.0,25.3,#N/A,#N/A,#N/A,25.3,13.4,#N/A,#N/A,#N/A,13.4,77.5,#N/A,#N/A,#N/A,77.5,361.2,#N/A,#N/A,#N/A,361.2,18.3,#N/A,#N/A,#N/A,18.3,3.3,#N/A,#N/A,#N/A,3.3,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,4.3,#N/A,#N/A,#N/A,4.3,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,151.3,0.0,101.2,-26.8,0.0,36.1,0.0,19.8,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-8.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000987,272.97,14,295.34,Dak Prescott,QB,295.34,0.00,0.00,0.00,0.00,0.00
15,Justin Herbert,LAC,QB,544.1,#N/A,#N/A,#N/A,544.1,355.8,#N/A,#N/A,#N/A,355.8,188.3,#N/A,#N/A,#N/A,188.3,3846.8,#N/A,#N/A,#N/A,3846.8,186.2,#N/A,#N/A,#N/A,186.2,24.5,#N/A,#N/A,#N/A,24.5,9.9,#N/A,#N/A,#N/A,9.9,64.6,#N/A,#N/A,#N/A,64.6,262.8,#N/A,#N/A,#N/A,262.8,13.4,#N/A,#N/A,#N/A,13.4,2.7,#N/A,#N/A,#N/A,2.7,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.0,#N/A,#N/A,#N/A,3.0,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,153.9,0.0,98.0,-19.8,0.0,26.3,0.0,16.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-6.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000986,268.55,15,293.03,Joe Burrow,QB,293.03,0.00,0.00,0.00,0.00,0.00
16,Deshaun Watson,CLE,QB,544.7,#N/A,#N/A,#N/A,544.7,334.4,#N/A,#N/A,#N/A,334.4,210.3,#N/A,#N/A,#N/A,210.3,3746.9,#N/A,#N/A,#N/A,3746.9,181.3,#N/A,#N/A,#N/A,181.3,22.9,#N/A,#N/A,#N/A,22.9,13.3,#N/A,#N/A,#N/A,13.3,77.1,#N/A,#N/A,#N/A,77.1,385.3,#N/A,#N/A,#N/A,385.3,19.6,#N/A,#N/A,#N/A,19.6,3.2,#N/A,#N/A,#N/A,3.2,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.8,#N/A,#N/A,#N/A,3.8,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,149.9,0.0,91.6,-26.6,0.0,38.5,0.0,19.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-7.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000985,265.01,16,291.62,Justin Jefferson,WR,0.00,0.00,291.62,0.00,0.00,0.00
17,Jared Goff,DET,QB,568.9,#N/A,#N/A,#N/A,568.9,383.7,#N/A,#N/A,#N/A,383.7,185.2,#N/A,#N/A,#N/A,185.2,4231.0,#N/A,#N/A,#N/A,4231.0,204.8,#N/A,#N/A,#N/A,204.8,28.1,#N/A,#N/A,#N/A,28.1,10.6,#N/A,#N/A,#N/A,10.6,24.6,#N/A,#N/A,#N/A,24.6,55.7,#N/A,#N/A,#N/A,55.7,2.8,#N/A,#N/A,#N/A,2.8,1.1,#N/A,#N/A,#N/A,1.1,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.1,#N/A,#N/A,#N/A,3.1,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,169.2,0.0,112.4,-21.2,0.0,5.6,0.0,6.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-6.2,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000984,266.41,17,290.31,Kyler Murray,QB,290.31,0.00,0.00,0.00,0.00,0.00
18,Tua Tagovailoa,MIA,QB,544.9,#N/A,#N/A,#N/A,544.9,370.7,#N/A,#N/A,#N/A,370.7,174.2,#N/A,#N/A,#N/A,174.2,4269.7,#N/A,#N/A,#N/A,4269.7,206.7,#N/A,#N/A,#N/A,206.7,27.3,#N/A,#N/A,#N/A,27.3,12.5,#N/A,#N/A,#N/A,12.5,31.8,#N/A,#N/A,#N/A,31.8,88.8,#N/A,#N/A,#N/A,88.8,4.5,#N/A,#N/A,#N/A,4.5,0.6,#N/A,#N/A,#N/A,0.6,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.8,#N/A,#N/A,#N/A,3.8,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,170.8,0.0,109.2,-25.0,0.0,8.9,0.0,3.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-7.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000983,259.87,18,282.55,Jordan Love,QB,282.55,0.00,0.00,0.00,0.00,0.00
19,Kirk Cousins,ATL,QB,533.3,#N/A,#N/A,#N/A,533.3,349.6,#N/A,#N/A,#N/A,349.6,183.7,#N/A,#N/A,#N/A,183.7,4016.0,#N/A,#N/A,#N/A,4016.0,194.4,#N/A,#N/A,#N/A,194.4,27.0,#N/A,#N/A,#N/A,27.0,10.5,#N/A,#N/A,#N/A,10.5,34.0,#N/A,#N/A,#N/A,34.0,99.7,#N/A,#N/A,#N/A,99.7,5.1,#N/A,#N/A,#N/A,5.1,1.4,#N/A,#N/A,#N/A,1.4,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,4.5,#N/A,#N/A,#N/A,4.5,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,160.6,0.0,108.0,-21.0,0.0,10.0,0.0,8.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-9.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000982,257.01,19,282.03,Brock Purdy,QB,282.03,0.00,0.00,0.00,0.00,0.00
20,Baker Mayfield,TB,QB,561.9,#N/A,#N/A,#N/A,561.9,355.0,#N/A,#N/A,#N/A,355.0,206.9,#N/A,#N/A,#N/A,206.9,3940.6,#N/A,#N/A,#N/A,3940.6,190.7,#N/A,#N/A,#N/A,190.7,25.7,#N/A,#N/A,#N/A,25.7,11.9,#N/A,#N/A,#N/A,11.9,51.9,#N/A,#N/A,#N/A,51.9,171.1,#N/A,#N/A,#N/A,171.1,8.7,#N/A,#N/A,#N/A,8.7,1.5,#N/A,#N/A,#N/A,1.5,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,3.3,#N/A,#N/A,#N/A,3.3,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,157.6,0.0,102.8,-23.8,0.0,17.1,0.0,9.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-6.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000981,256.13,20,276.72,Jayden Daniels,QB,276.72,0.00,0.00,0.00,0.00,0.00
21,Matthew Stafford,LAR,QB,552.7,#N/A,#N/A,#N/A,552.7,355.3,#N/A,#N/A,#N/A,355.3,197.4,#N/A,#N/A,#N/A,197.4,4125.4,#N/A,#N/A,#N/A,4125.4,199.7,#N/A,#N/A,#N/A,199.7,26.8,#N/A,#N/A,#N/A,26.8,12.5,#N/A,#N/A,#N/A,12.5,23.4,#N/A,#N/A,#N/A,23.4,66.0,#N/A,#N/A,#N/A,66.0,3.4,#N/A,#N/A,#N/A,3.4,0.6,#N/A,#N/A,#N/A,0.6,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,2.2,#N/A,#N/A,#N/A,2.2,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,,#N/A,#N/A,#N/A,#DIV/0!,0.0,0.0,0.0,165.0,0.0,107.2,-25.0,0.0,6.6,0.0,3.6,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,-4.4,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00000000980,253.02,21,273.74,A.J. Brown,WR,0.00,0.00,273.74,0.00,0.00,0.00
